Base Word,Words in the Dictionary
glaze,glazing + underglaze + glazement + overglazing + semiglaze + glazer + reglazing + overglazing + reglazed + reglaze + glazed + overglazed + deglaze + overglaze + underglaze + glazed + glazily
gainliness,ungainliness
gangway,gangwayed
guardable,unguardable
grain,ingrain + graining + grainer + nongrain + grains + ingrain + grainless + ingrain + grained + ingrained + grainy
guinean,Guinean
glassy,glassier + unglassy + glassiest + glassy-eyed
genese,genesic
gluconeogene,gluconeogenic
guzzled,unguzzled
galvanotaxia,galvanotactic
gorgon,gorgonian + gorgonize + gorgonizing + gorgonian
greenhouse,greenhouses
gangly,ganglion + gangling
gin and tone,gin and tonic
geognost,geognostic
grabbing,ungrabbing
gaze,gazer + gazeless + agaze
genie,geniality + genial + genially
gigant,gigantic
gyrus,subgyrus
glabrous,subglabrous
glow,counterglow + glowing + glower + underglow + glower + glowing + aglow + glowingly
gliding,paragliding + ungliding
greensand proc,greensand process
graft,ingraftation + allograft + graftage + grafting + autograft + ingraft + intergraft + misgraft + regraft + antigraft
gelatinisate,gelatinisation
gamboled,ungamboled
groove,microgroove + groover + grooved + grooving + grooved + groovy + grooveless + groovelike
groveling,ungroveling
gnarl,gnarled
gutturally,nongutturally + ungutturally
guerilla,guerillaism
graptolite,graptolitic
germinated,ungerminated
gangrene,gangrened + gangrening + gangrenous
geoscient,geoscience
genuine,genuineness + ungenuine + nongenuine + genuinely
garbled,ungarbled
goldmine,goldminer
genety,hypergenetical
gorilla,gorillalike
gnomone,gnomonic
gentry,gentrify
gynobase,gynobasic
granulocyte,granulocytic
gynaecocrate,gynaecocratic
gemmate,gemmating
gorgonise,gorgonising
glue,gluer + ungluing + glued + unglue + reglued + gluing + unglued + regluing + reglue + gluey + gluelike
gouache,gouaches
gracil,gracility
giddy,giddiness + ungiddy + giddiest + giddier
gonorrhoe,gonorrhoeic
gastroscope,gastroscopy + gastroscopies + gastroscopic
glum,glumly
gracios,graciosity
guild,guildship + guilder
golosh,goloshes
gelatinous,subgelatinous + ungelatinous + nongelatinous
gammon,gammoner + gammoning
gradational,intergradational
gallfly,gallflies
grimed,ungrimed
geography,geographer + geographies
guile,unguileful + guileful + guileless
ginnery,ginneries
gonial,intergonial + perigonial
gelatinizing,nongelatinizing
geodese,geodesic + geodesic
guggle,guggling + guggled
gonophory,gonophoric
greedily,overgreedily
glory,gloriousness + unglorious + superglorious
geratology,geratologic
gradated,ungradated
gurgle,gurgling + gurgled
garden c,garden city
glycemia,hypoglycemia + hyperglycemia
gunner,undergunner
galvanotrope,galvanotropic
gulley,gulleys
gram-negative,Gram-negative
gamma distribu,gamma distribution
gummed,ungummed
gremial,nongremial
gazelle,gazelles + gazellelike
gnarled,ungnarled
gloom,undergloom + glooms + glooming + ungloom + gloomy + gloomful + gloomless + gloomily
glance,overglanced
gemmulate,gemmulation
galaxy,supergalaxies + supergalaxy
gastroduodenostomy,gastroduodenostomies
grid declinate,grid declination
guillotined,unguillotined
geomant,geomancy + geomantic
grandios,grandiosity
greasiness,overgreasiness
grid vari,grid variation
gabbroit,gabbroitic
gelatinously,subgelatinously + nongelatinously + ungelatinously
glycoside,glycosidic
gyroscope,gyroscopic
gyrate,gyration + gyrator + gyrating + gyrated + gyratory + pseudogyrate + multigyrate
glut,gluten + deglut + overglut + glutted + glutenize + glutting + glutenous
grillade,grillading
gallon,gallonage
gonide,gonidic
guardedly,unguardedly
gallop,galloper + galloping
glorifying,unglorifying
geometry,geometrize + geometrizing + nongeometric + semigeometrical + semigeometric + nongeometrical + ungeometrical + ungeometric + subgeometric + subgeometrical + geometric
glide,glider + gliding + glided + gliding + glidingly
gamma,digamma
garaged,ungaraged
gestural,ungestural
gauzy,gauziest + gauzier
gourmet,gourmets
garrulousness,nongarrulousness + ungarrulousness
garnet,garnetter + garnetlike
germicide,germicidal
gleaming,ungleaming
granulated,multigranulated + nongranulated + ungranulated
genesis,xenogenesis + diagenesis + polygenesis + pangenesis + anagenesis + epigenesis + autogenesis + paragenesis + digenesis + monogenesis + agenesis + hypergenesis + hypogenesis
glial,microglial
geomagnetic,geomagnetician
gaelic,Gaelic
gyre,supergyre + subgyre + gyral
gingelly,gingellies
gallantness,supergallantness
gyri,subgyri
glimmer,aglimmer
greedy,ungreedy + greedier + greediest + overgreedy
genotypy,genotypical
generate,degenerate + generation + intergeneration + pregeneration + ingeneration + degenerateness + generator + regeneration + degeneration + regenerator + degenerating + pregenerated + pregenerating + degenerate + regenerated + ingenerate + ingenerating + generated + degenerated + ingenerated + pregenerate + generating + regenerating + regenerate + nongenerative + degenerate + ungenerative + generative + intergenerative + regenerative + regenerate + degenerative + ingenerate + degenerately
gyro,gyros + autogyro
gauze,gauzelike + gauzy + gauzily
graphically,micrographically + ungraphically + monographically + nongraphically
gastrojejunostomy,gastrojejunostomies
greatness,overgreatness
goggled,ungoggled
geomanty,geomantical
gutturalness,ungutturalness + nongutturalness
gardener,undergardener
gentlewoman,gentlewomanly
ghostwrite,ghostwritten + ghostwrote + ghostwriting
grudging,ungrudging
geyser,geyserite + geyseral
ganglionectomy,ganglionectomies
genotype,genotypic
godliness,ungodliness
garrot,garrotted
genethlialogy,genethlialogic + genethlialogical
ghost dant,ghost dance
geometric,geometrician
gospel,gospeler + nongospel
gulp,gulping + gulpy + gulpingly
gossiping,ungossiping
galliamb,galliambic + galliambic
geusesthesia,hypergeusesthesia
genoese,Genoese
glycolyte,glycolytic
gab,gaby + gabbling + gabby
gummy,gummiest + gummier
gad,gadded + gadding
gruff,ungruff
gag,gager + gagger + gaged + gagging + ungag + ungagged + ungagging + gagged + gaging
girdle,girdler + ungirdled + girdled + ungirdling + ungirdle + girdling + girdlelike
giant garl,giant garlic
guidable,nonguidable + unguidable
graphology,graphologic + graphological
gesture,gesturer + gestural
gam,gaming
greco-roman,Greco-Roman
gal,gals + regality + regal + regalities + regaled + regal + regally
gula,ungula
gnomology,gnomological + gnomologic
gap,gaper + gapping + gaposis + gapped + gaping + gaped + gapless + gapy
gamous,hypergamous
gas,nongas + gasify + degas + gaseous + gasless
gulf,ingulf + gulfy + gulflike
gar,garment + garage + garred + garring + garment + garaging + garage + garaged + garmentless + garish + garishly
gelatinousness,nongelatinousness + ungelatinousness + subgelatinousness
gat,gated + gated + gating + gated
gauntleted,ungauntleted
gay,gayness + gayal + gayly
gull,gullability + gullible + gulllike + gullable + gullably
gaz,gazette + gazette + gazed + gazing
gradual,gradualness + gradualism + gradualist + ungradual + gradualism + gradualist + gradually
gratifying,ungratifying + nongratifying
guitar,guitarist + guitarlike
gruel,grueling + grueling
grappled,ungrappled
globularly,subglobularly + nonglobularly + semiglobularly + unglobularly
gentleman,undergentleman + gentlemanly + gentlemanlike
group veloc,group velocity
giant star,supergiant star
garter,ungarter + garterless
gargle,gargler + gargled + gargling
girlhood,pregirlhood
globetrot,globetrotter + globetrotter
gilly,gillies
ghostlike,unghostlike
ghoul,ghoulish
geriatric,geriatrician
guide,guidance + guider + preguide + misguide + reguide + reguided + guided + guiding + preguided + reguiding + preguiding + misguided + guideless + guidable + guided + misguidedly
genitale,genitalic
gamey,gametic
gabbro,gabbroic
glaire,glairing + glairy
gauntry,gauntries
grotesquery,grotesqueries
galvane,galvanic
goldfield,goldfields
gassy,gassing + gassed + gassiest + gassier + nongassy
grantable,ungrantable
gantry,gantries
goat,goatee + goatlike + goateed + goatish
glibly,unglibly
glandulous,nonglandulous
gorge,gorger + disgorgement + gorged + regorge + disgorging + gorging + regorged + regorging + disgorge + disgorged + gorged + gorgeous + gorgeable + gorgeously
glittery,unglittery
gallic,Anglo-Gallic + Gallic
grooming,nongrooming
gayety,gayeties
geotaxia,geotactic
goad,goading + overgoad + goadlike
goaf,goaves
geniculate,subgeniculation + geniculation + subgeniculate
galvanize,regalvanization + galvanization + pregalvanizing + galvanizing + regalvanized + pregalvanized + regalvanizing + pregalvanize + galvanized + regalvanize
gatehouse,gatehouses
gambol,gamboled + gambolling + gamboling + gambolled
glucine,glucinic
galley,galleys + galleylike
gravitate,nongravitation + gravitation + supergravitation + supergravitated + gravitated + gravitating + supergravitating + supergravitate + nongravitative + gravitative + ungravitative
gastrotome,gastrotomic
genuineness,nongenuineness + ungenuineness
gee,perigee + geed + agee
gonadotrope,gonadotropic
gangrened,ungangrened
graphotype,graphotypic
granddaddy,granddaddies
gambog,gambogian
glamorous,unglamorous
gloriously,ingloriously + ungloriously + supergloriously + quasi-gloriously
gem,gems + gemmation + gemmed + gemming + gemmed + gemming + gemmy + gemlike + gemless + gemmily
gazette,gazetteer + gazetting + gazetted
gimmick,gimmicky
gel,angel + gelling + regelled + gelled + regel + regelling
gastrotomy,gastrotomies
gen,gens + antigen + acrogen + genitor + genal
ghost,ghostdom + ghostly + ghostlike + ghostily
ger,ingress + regress + progressism + anger + anger + transgress + regress
gasificate,gasification
get,getter + getting + midget + get round + ingot + getter + gotten + got + gettable + getable
gratinate,gratinating
godd,goddess
goethian,Goethian
gloomily,ungloomily + overgloomily
glacial,interglacial + subglacial + nonglacial + preglacial + unglacial + superglacial + periglacial + postglacial + interglacial
gelatinise,gelatinised + gelatinising
graze,grazing + grazer + grazed + overgrazing + overgrazed + overgraze + grazeable + grazingly
gusto,gustoish
gratifyingly,nongratifyingly
gloominess,overgloominess
greater Ione,greater Ionic
gutted,ungutted
gipsy,gipsyism + gipsydom + gipsyish + gipsylike
genocide,genocidal
gusty,gustiest + gustier
gratify,overgratify + overgratifying + pregratifying + supergratifying + pregratified + supergratified + pregratify + overgratified + supergratify
gravimetry,gravimetric
gathering,ingathering
gutter,gutterlike
gored,ungored
gentlemen,undergentlemen
gaggle,gaggled + gaggling
gastroenterum,gastroenteritis
gipse,gipseian
glute,gluteal
grizzly,grizzler + grizzlier + grizzlies + grizzliest
glyceride,triglyceride
guru,guruship
girder,girdering + girderless
glutin,glutinous
geodyname,geodynamic
gloweringly,ungloweringly
garret,garreted
gassed,ungassed
gymnospore,gymnosporous
guttle,guttled
gaseous,nongaseous + pseudogaseous
glycere,glyceric
genealogy,genealogist + genealogies + genealogic + nongenealogical + genealogical + nongenealogic
gadoline,gadolinic
growing,ungrowing + ingrowing
genual,supergenual
granuloma,granulomas
girth,undergirth
gable,gabled + gablelike
glycaemia,hyperglycaemia
guardedness,unguardedness
gerontocracy,gerontocracies
glyconeogeneticy,glyconeogenetic
guardhouse,guardhouses
gerundive,nongerundive
goey,goes + goes
grammatically,hypergrammatically + ungrammatically
gutturalise,gutturalising
gaited,ungaited
ground,grounder + groundling + underground + grounding + groundage + reground + groundless + unground + overground + underground + groundable + aground + groundably + underground
glitter,glittery + aglitter
grizzle,grizzled
guesthouse,guesthouses
grudgingly,ungrudgingly
goodwife,goodwives
gib,gibberish + gibber
gig,gigging + gigged + giggly
geology,geologies + geologist + geologizing + geologize + nongeological + geologic + geological + nongeologic + pregeological + ungeological + geologically
generable,generability + ungenerable + regenerable
gin,ginner + ginning + gan + ginned + ginned
gimlet,gimlety
grindable,ungrindable
gip,gipping + gipped
git,agit + digit + digitization + digitize + digitized + digitizing
gyromagneticy,gyromagnetic
gene frequent,gene frequency
glossology,glossological
glacier,glaciered
goliard,goliardic
giblet,giblets
grave,gravies + gravure + graveness + graving + graved + graveless + gravelike + agravic + gravely
gambled,ungambled
gametogene,gametogenic
grimace,grimacer + grimacing + grimaced
geodynamy,geodynamical
gush,gusher + gushy + gushily
gold mine,gold mining
granite,granitite + pregranite + pregranite + granitelike + pregranitic + granitic
garrison,overgarrison + regarrison
gasmetophyte,gasmetophytic
growth,upgrowth + intergrowth + pregrowth + regrowth + undergrowth + overgrowth + ingrowth
gynaecocracy,gynaecocracies
gust,disgust + degustation + gustation + gustable + disgust + degust + disgusting + gusty + disgustful + gustless + disgustingly + gustable + gustily
